household_id,state,sector_rural_urban,household_size,food_expenditure,education_expenditure,medical_expenditure,transport_expenditure,rent,fuel_light,clothing,durable_goods,total_monthly_expenditure,mpce
30,Maharashtra,Rural,7,5234,1688,1934,1191,656,810,394,1292,13199,1885.57
31,Uttar Pradesh,Rural,3,1953,790,772,755,3822,369,503,771,9735,3245.0
32,Uttar Pradesh,Urban,8,8400,1633,1230,1947,6147,1052,593,1558,22560,2820.0
33,Karnataka,Rural,3,5190,1198,1149,1450,2479,541,970,1720,14697,4899.0
34,Karnataka,Rural,3,6276,2152,2065,1999,2489,1731,1373,2402,20487,6829.0
35,Karnataka,Urban,3,7426,4187,3509,3033,5427,2403,1591,1476,29052,9684.0
36,Maharashtra,Rural,3,2135,739,1074,422,2774,718,298,357,8517,2839.0
37,Uttar Pradesh,Rural,4,2545,990,455,434,3447,545,438,954,9808,2452.0
38,Karnataka,Rural,8,3447,1001,539,960,1687,687,279,613,9213,1151.62
39,Rajasthan,Rural,2,3160,740,303,1035,396,334,288,1060,7316,3658.0
40,Karnataka,Urban,8,6261,2994,2354,1663,7980,2258,1560,1017,26087,3260.88
41,Uttar Pradesh,Rural,8,3275,1828,1254,1512,3294,1230,768,1635,14796,1849.5
42,Rajasthan,Rural,8,3325,1146,1559,730,1676,799,383,1126,10744,1343.0
43,Rajasthan,Urban,2,20357,5279,6515,5424,7312,3463,3443,3307,55100,27550.0
44,Bihar,Rural,4,3399,1276,1247,1301,652,917,663,1147,10602,2650.5
45,Kerala,Rural,2,4828,1448,1740,2006,823,995,534,477,12851,6425.5
46,Uttar Pradesh,Urban,6,18121,4817,4459,4881,16970,2746,2353,4087,58434,9739.0
47,Tamil Nadu,Rural,5,1923,744,380,614,2783,368,432,563,7807,1561.4
48,Maharashtra,Rural,6,8197,2579,1813,1483,739,1628,1119,907,18465,3077.5
49,Bihar,Urban,3,8591,1203,2701,2082,4838,988,884,2442,23729,7909.67
50,Maharashtra,Urban,2,12760,6127,3984,2188,7158,1639,1088,1228,36172,18086.0
51,Tamil Nadu,Urban,2,21390,5817,5931,6877,12860,4331,1658,4002,62866,31433.0
52,Rajasthan,Urban,6,14200,4816,2933,2267,7544,2966,1892,4532,41150,6858.33
53,Maharashtra,Urban,7,6270,3582,2457,2295,11580,1528,1571,2500,31783,4540.43
54,Bihar,Urban,5,20308,7255,5521,3229,9949,4567,2888,4596,58313,11662.6
55,Tamil Nadu,Rural,2,2285,1394,770,620,796,552,644,728,7789,3894.5
56,Bihar,Rural,8,3743,908,1475,910,2895,810,985,1159,12885,1610.62
57,Maharashtra,Urban,4,11054,3358,2316,2293,10956,1840,1856,2133,35806,8951.5
58,Maharashtra,Rural,3,5189,3097,2194,1170,3994,1859,1514,751,19768,6589.33
59,West Bengal,Urban,2,13049,3494,4132,2147,4276,2497,1513,3398,34506,17253.0
60,West Bengal,Rural,4,4773,1296,1096,675,1026,743,578,657,10844,2711.0
61,Kerala,Urban,5,12667,3121,3062,2496,4062,3764,2240,4491,35903,7180.6
62,Bihar,Urban,3,14916,5270,5091,3888,9371,1988,1545,3070,45139,15046.33
63,West Bengal,Urban,4,11257,3240,1663,1514,13554,1237,874,1240,34579,8644.75
64,Delhi,Urban,8,13222,7076,2083,3575,5590,3908,2864,5098,43416,5427.0
65,Rajasthan,Rural,7,8383,2353,1978,1500,2621,1657,600,1324,20416,2916.57
66,Bihar,Rural,5,2786,1320,732,1103,2187,502,498,958,10086,2017.2
67,Rajasthan,Rural,3,2252,477,721,368,1942,302,126,275,6463,2154.33
68,Delhi,Urban,4,18854,6833,6321,2700,12310,3626,3300,2238,56182,14045.5
69,Bihar,Urban,7,5823,3213,1302,1390,8468,1044,1442,2300,24982,3568.86
70,West Bengal,Urban,2,9545,4537,2566,2548,4065,1969,1106,3478,29814,14907.0
71,Rajasthan,Rural,2,6145,1011,1124,1798,502,1136,689,2029,14434,7217.0
72,West Bengal,Rural,8,4098,1718,1209,1758,1692,999,732,1449,13655,1706.88
73,Rajasthan,Rural,7,5597,2376,823,1663,3593,1006,761,1644,17463,2494.71
74,Delhi,Rural,8,3385,431,885,891,2891,694,468,1081,10726,1340.75
75,West Bengal,Rural,7,6505,3289,1080,2063,2070,1336,1077,611,18031,2575.86
76,Karnataka,Urban,6,15070,6711,5734,4965,3126,4523,4086,7579,51794,8632.33
77,Tamil Nadu,Rural,6,3958,627,1338,1298,3417,674,525,737,12574,2095.67
78,Kerala,Urban,3,20103,3516,4641,7393,7212,5171,2599,4755,55390,18463.33
79,Rajasthan,Urban,4,5555,1456,1893,1835,16050,1895,833,1990,31507,7876.75
80,Gujarat,Rural,3,3309,2027,653,1059,3120,522,924,1045,12659,4219.67
81,Rajasthan,Rural,7,4804,2743,1029,1136,2482,694,795,1608,15291,2184.43
82,Maharashtra,Rural,4,7641,2310,1810,2281,3057,1061,665,2872,21697,5424.25
83,Tamil Nadu,Urban,3,17498,7589,7273,6598,13093,4531,2190,4738,63510,21170.0
84,Bihar,Rural,4,5437,3091,1197,2314,327,1090,521,1188,15165,3791.25
85,Delhi,Urban,5,16331,4945,7778,2879,15469,2532,1822,1862,53618,10723.6
86,Bihar,Urban,5,9801,2238,1624,2085,13112,1787,855,2486,33988,6797.6
87,Gujarat,Urban,2,9709,3296,1223,3021,8986,1529,1626,2782,32172,16086.0
88,Rajasthan,Rural,2,3071,1134,586,548,520,772,677,797,8105,4052.5
89,Maharashtra,Rural,4,4620,2024,1230,736,3217,834,647,1511,14819,3704.75
90,Uttar Pradesh,Rural,6,2448,1172,545,914,3896,562,439,1054,11030,1838.33
91,Uttar Pradesh,Rural,3,3088,1681,580,568,1599,830,232,1256,9834,3278.0
92,Karnataka,Urban,8,20437,4718,6734,2950,12442,3207,1681,4403,56572,7071.5
93,Bihar,Urban,4,11957,1900,2943,2641,10101,1644,1114,2156,34456,8614.0
94,Delhi,Rural,8,3709,702,2045,705,130,645,543,1772,10251,1281.38
95,Rajasthan,Rural,3,3415,590,1401,1213,3894,755,631,1126,13025,4341.67
96,Gujarat,Urban,3,12046,4649,1193,3245,14834,2571,830,2642,42010,14003.33
97,West Bengal,Rural,8,4586,2521,2175,2140,3590,1014,1062,1946,19034,2379.25
98,Maharashtra,Rural,8,4206,910,606,657,3597,931,460,1332,12699,1587.38
99,Tamil Nadu,Rural,2,6797,2594,1728,1647,1372,1646,800,1518,18102,9051.0
100,Maharashtra,Rural,8,5227,2739,763,814,3212,690,404,552,14401,1800.12
101,Kerala,Urban,5,6873,2400,2496,3156,7361,1029,1230,1681,26226,5245.2
102,Maharashtra,Rural,7,3173,1748,467,633,3736,659,285,1503,12204,1743.43
103,Uttar Pradesh,Urban,4,21038,7772,4999,6614,7805,4681,3044,1781,57734,14433.5
104,Delhi,Urban,8,22136,3492,2402,4703,12076,2245,4119,6870,58043,7255.38
105,Uttar Pradesh,Rural,8,2378,858,657,511,2736,476,332,1005,8953,1119.12
106,Bihar,Urban,7,7965,2832,2313,1318,3892,2064,800,1014,22198,3171.14
107,Kerala,Rural,3,6403,2101,1563,912,169,1002,658,951,13759,4586.33
108,Uttar Pradesh,Rural,3,5510,2601,906,2532,36,1306,915,1894,15700,5233.33
109,West Bengal,Urban,3,8958,3080,2061,2898,6930,1159,623,1043,26752,8917.33
110,Kerala,Urban,5,14287,2518,4883,4893,6738,1489,2480,1621,38909,7781.8
111,Uttar Pradesh,Urban,8,15065,6187,2854,2890,5403,1878,1650,4052,39979,4997.38
112,Delhi,Rural,5,4362,703,750,546,2903,695,742,812,11513,2302.6
113,Uttar Pradesh,Rural,5,5278,2261,761,1659,1887,1077,632,482,14037,2807.4
114,Delhi,Rural,3,5176,1450,1494,1470,703,846,321,1727,13187,4395.67
115,Bihar,Rural,8,5424,3197,1546,1693,3553,886,1204,2015,19518,2439.75
116,Karnataka,Urban,8,10764,2416,4086,1839,6155,1863,2165,2271,31559,3944.88
117,Karnataka,Rural,2,6813,2000,2610,2717,1410,1134,1572,2525,20781,10390.5
118,Maharashtra,Urban,4,14175,8044,6192,6275,8179,4477,3242,5191,55775,13943.75
119,Uttar Pradesh,Urban,3,10358,1517,3201,3349,10725,1659,1618,1726,34153,11384.33
120,Gujarat,Urban,6,16900,8934,2834,4842,8463,4057,2195,7377,55602,9267.0
121,Gujarat,Rural,6,6572,2506,1785,1863,2848,727,390,1469,18160,3026.67
122,Gujarat,Urban,5,20455,8702,2421,5221,11905,4692,1259,6510,61165,12233.0
123,West Bengal,Rural,3,6245,3015,2805,1164,2918,1726,1659,966,20498,6832.67
124,Gujarat,Urban,2,16070,6694,4862,5339,3552,2475,2825,1624,43441,21720.5
125,Karnataka,Urban,7,14626,5742,4206,5291,3021,1928,1014,2562,38390,5484.29
126,Kerala,Urban,3,16131,6881,6372,4377,6638,1998,1392,1524,45313,15104.33
127,Bihar,Rural,2,4067,1564,981,1402,3714,797,1075,777,14377,7188.5
128,Uttar Pradesh,Urban,6,18727,7256,6202,5008,11595,3618,2533,5012,59951,9991.83
129,West Bengal,Urban,5,25199,6141,4127,6399,13574,5550,1912,6137,69039,13807.8
130,Delhi,Urban,2,16705,7145,2539,3133,16081,4176,1311,5631,56721,28360.5
131,Kerala,Rural,5,6880,2339,2107,1111,1646,1477,722,1453,17735,3547.0
132,Bihar,Urban,8,10633,2921,1900,2112,8543,2675,1337,2004,32125,4015.62
133,West Bengal,Urban,2,17157,7454,6739,3818,9276,2865,1270,6775,55354,27677.0
134,Uttar Pradesh,Rural,2,3933,1206,1296,675,1655,446,346,352,9909,4954.5
135,Uttar Pradesh,Urban,6,8954,2228,1510,1831,9262,2279,1860,2358,30282,5047.0
136,Maharashtra,Urban,4,4758,2669,1570,1140,15257,1078,613,1419,28504,7126.0
137,Tamil Nadu,Rural,6,8143,2701,1075,1279,1359,1559,546,1081,17743,2957.17
138,Gujarat,Rural,2,9062,2866,1954,2307,1142,1902,1119,694,21046,10523.0
139,Delhi,Urban,5,19409,5145,5675,3083,16598,4040,4065,1819,59834,11966.8
140,Kerala,Urban,2,5877,1918,1140,2522,13824,1883,1656,1810,30630,15315.0
141,Maharashtra,Urban,2,16718,2653,4038,2044,4388,2404,1697,3134,37076,18538.0
142,Uttar Pradesh,Rural,6,3448,1142,753,664,1440,883,696,1209,10235,1705.83
143,Kerala,Rural,3,5230,2105,1615,759,2863,610,643,742,14567,4855.67
144,Karnataka,Urban,8,12254,3670,4066,2901,13737,2924,756,4506,44814,5601.75
145,Karnataka,Urban,8,8993,1773,2623,2124,3140,1602,1079,3547,24881,3110.12
146,Bihar,Urban,3,17553,5980,3078,3926,15289,4661,1780,5361,57628,19209.33
147,Tamil Nadu,Rural,2,4250,2470,1314,1842,444,1029,318,1494,13161,6580.5
148,Tamil Nadu,Urban,6,11308,2967,4101,3484,12435,3457,2830,2769,43351,7225.17
149,West Bengal,Rural,5,7601,1926,2079,1092,2711,1419,863,1840,19531,3906.2
150,Rajasthan,Urban,3,15833,3245,3296,3238,3630,2322,2584,2697,36845,12281.67
151,Kerala,Rural,3,2712,1012,651,694,1826,612,153,520,8180,2726.67
152,Bihar,Urban,7,7862,1555,1274,3596,17623,1328,1016,1475,35729,5104.14
153,Kerala,Urban,6,8332,1282,2396,1673,6713,1640,1319,1252,24607,4101.17
154,West Bengal,Rural,7,3663,1093,1681,1064,2774,675,616,457,12023,1717.57
155,Uttar Pradesh,Rural,8,2663,967,810,1239,1016,375,356,1384,8810,1101.25
156,Bihar,Urban,6,9984,1180,2717,2847,7443,1225,1353,923,27672,4612.0
157,Gujarat,Rural,8,4049,1262,626,613,1184,512,366,773,9385,1173.12
158,Kerala,Rural,4,7424,3318,1492,3042,3016,1949,626,2623,23490,5872.5
159,Gujarat,Urban,5,14176,8106,4246,7148,3560,4776,3545,6474,52031,10406.2
160,Karnataka,Urban,8,11013,3101,5699,4209,9721,3764,2138,3433,43078,5384.75
161,Rajasthan,Urban,7,20001,7346,3488,6763,12325,4166,2792,2076,58957,8422.43
162,Uttar Pradesh,Rural,2,5702,3236,1145,2345,1603,2062,1555,1357,19005,9502.5
163,Gujarat,Rural,4,3933,721,483,1325,3201,699,243,1545,12150,3037.5
164,Delhi,Rural,8,4544,1073,1197,981,3976,1330,387,1487,14975,1871.88
165,Tamil Nadu,Rural,6,2297,967,723,683,1403,353,540,619,7585,1264.17
166,Bihar,Rural,5,4914,1727,2514,1289,1549,827,776,2149,15745,3149.0
167,Uttar Pradesh,Urban,3,6019,1059,1366,3031,12092,1809,1593,1818,28787,9595.67
168,Bihar,Rural,4,4522,677,1011,701,1940,642,693,940,11126,2781.5
169,Kerala,Urban,6,14195,5788,5060,4488,13793,2055,2137,2877,50393,8398.83
170,Rajasthan,Urban,3,17740,6868,4126,3870,11123,2926,1468,5971,54092,18030.67
171,Tamil Nadu,Rural,4,9363,2251,946,1125,1439,1773,1245,2640,20782,5195.5
172,Bihar,Rural,6,2013,676,916,904,2324,593,412,446,8284,1380.67
173,West Bengal,Rural,7,4280,1706,796,1646,3423,1524,1086,930,15391,2198.71
174,Kerala,Rural,3,4562,1271,721,2212,3632,1041,1117,1040,15596,5198.67
175,Karnataka,Rural,3,6088,2446,2147,1921,780,792,669,2348,17191,5730.33
176,Tamil Nadu,Rural,4,3585,779,767,1562,2171,881,544,344,10633,2658.25
177,Uttar Pradesh,Rural,7,9220,3726,1489,2759,38,1487,1550,2582,22851,3264.43
178,Tamil Nadu,Rural,4,7429,1576,1842,2276,597,861,1133,760,16474,4118.5
179,Maharashtra,Rural,4,6279,2045,2433,2451,87,1512,519,950,16276,4069.0
180,Tamil Nadu,Urban,2,14409,6258,6602,6341,16422,4743,1872,2720,59367,29683.5
181,West Bengal,Urban,2,7171,2351,1097,1546,4428,1573,962,553,19681,9840.5
182,West Bengal,Urban,5,12152,7301,3366,3459,17285,2046,1603,5655,52867,10573.4
183,Uttar Pradesh,Rural,8,6151,2576,1641,1390,1155,1009,962,473,15357,1919.62
184,Gujarat,Rural,5,1901,895,657,808,940,310,387,689,6587,1317.4
185,Karnataka,Rural,3,2004,1036,625,380,1938,286,264,818,7351,2450.33
186,Gujarat,Rural,5,5278,1071,1965,1196,431,1012,386,2051,13390,2678.0
187,Kerala,Urban,6,10361,3142,1636,3255,13640,2730,1779,3260,39803,6633.83
188,West Bengal,Urban,2,14345,2417,1931,6028,11329,2552,2312,2980,43894,21947.0
189,Uttar Pradesh,Rural,4,9196,3453,1309,2821,921,1461,1060,996,21217,5304.25
190,Karnataka,Rural,8,3746,1608,1379,731,2978,850,312,1334,12938,1617.25
191,Delhi,Rural,6,5557,1842,1462,1588,1431,2006,743,1331,15960,2660.0
192,Gujarat,Rural,2,1632,703,271,349,581,585,175,582,4878,2439.0
193,Rajasthan,Urban,7,11791,6318,6767,4914,12614,4460,1072,3720,51656,7379.43
194,Kerala,Rural,6,7385,1469,1981,1869,3652,1906,1095,1395,20752,3458.67
195,Kerala,Rural,6,4165,2228,1411,1419,894,650,993,1619,13379,2229.83
196,Kerala,Urban,2,9590,3945,3360,2397,4633,3483,2556,3971,33935,16967.5
197,Maharashtra,Urban,4,10027,1622,2691,3648,6750,1886,645,3472,30741,7685.25
198,Tamil Nadu,Urban,3,9733,1270,1308,2815,17189,1206,857,3486,37864,12621.33
199,Delhi,Urban,3,11604,4866,6177,4582,5113,3082,1161,4800,41385,13795.0
200,Kerala,Rural,4,3715,954,647,1100,306,1098,470,867,9157,2289.25
201,Kerala,Rural,7,3160,1576,1428,916,1233,1026,834,709,10882,1554.57
202,Delhi,Rural,5,2638,1529,1030,599,1014,611,523,368,8312,1662.4
203,Kerala,Urban,7,26824,6776,3203,7341,10183,3557,4782,8842,71508,10215.43
204,Tamil Nadu,Rural,6,5599,2260,2172,912,2178,1321,492,2094,17028,2838.0
205,Karnataka,Urban,7,15810,7202,4157,3939,10544,3199,3201,3225,51277,7325.29
206,West Bengal,Rural,5,2655,798,546,833,1241,658,638,1063,8432,1686.4
207,Gujarat,Urban,5,14737,4378,1781,3888,14101,1967,2022,1268,44142,8828.4
208,Tamil Nadu,Rural,5,7684,1588,2038,2198,2048,1302,705,1022,18585,3717.0
209,Bihar,Urban,6,25967,9686,7373,7644,11179,4740,2113,8239,76941,12823.5
210,Tamil Nadu,Rural,3,7259,3446,2125,1868,2605,2092,565,1712,21672,7224.0
211,Kerala,Rural,7,3136,1656,739,1445,2661,873,699,329,11538,1648.29
212,Tamil Nadu,Urban,2,10813,2251,3536,1592,16947,2137,1363,1081,39720,19860.0
213,Kerala,Rural,5,7550,1810,1490,2539,1677,875,1514,2701,20156,4031.2
214,Kerala,Rural,7,5224,1096,1207,2356,1655,765,1000,2720,16023,2289.0
215,Maharashtra,Urban,6,8414,3247,3466,2933,12491,1200,2063,1080,34894,5815.67
216,Rajasthan,Rural,8,6828,2320,2726,2401,1447,2038,1015,2241,21016,2627.0
217,Bihar,Rural,2,2897,1135,501,861,178,674,575,1403,8224,4112.0
218,Maharashtra,Rural,2,6023,946,1086,1377,3655,1092,363,748,15290,7645.0
219,West Bengal,Urban,6,21572,6397,5139,5612,5800,4346,3008,7632,59506,9917.67
220,Rajasthan,Rural,4,5737,2059,1649,1342,891,1192,423,1183,14476,3619.0
221,Delhi,Rural,2,7799,3597,2259,1159,855,1762,496,1840,19767,9883.5
222,Rajasthan,Rural,4,7592,2512,1880,1424,583,1573,1360,2261,19185,4796.25
223,Delhi,Urban,7,8639,1654,3049,3400,6741,1342,1232,2428,28485,4069.29
224,Maharashtra,Rural,8,6664,986,812,1423,935,1606,1000,1855,15281,1910.12
225,Maharashtra,Urban,6,6694,1567,1373,1619,15497,1886,1553,2255,32444,5407.33
226,Bihar,Rural,3,5992,2194,2006,1054,267,918,1037,1380,14848,4949.33
227,Tamil Nadu,Urban,7,19264,5250,5654,3844,13516,2894,3339,4144,57905,8272.14
228,Maharashtra,Rural,4,8435,2064,1461,2106,3243,1212,1091,2232,21844,5461.0
229,Rajasthan,Rural,3,4229,862,1735,1064,3739,619,270,1352,13870,4623.33
230,Bihar,Rural,8,6548,1120,2362,1828,125,1605,972,1723,16283,2035.38
231,Karnataka,Rural,3,3316,1501,1895,1147,2973,549,283,993,12657,4219.0
232,West Bengal,Rural,7,6881,1764,2799,1240,2172,1960,782,2751,20349,2907.0
233,Karnataka,Urban,2,10399,5913,2800,2993,11988,2042,1773,1639,39547,19773.5
234,Rajasthan,Rural,6,4559,1051,1429,1319,1402,552,550,1214,12076,2012.67
235,Uttar Pradesh,Urban,8,9047,1682,2195,2783,6456,1713,1090,3688,28654,3581.75
236,Maharashtra,Urban,2,20432,8656,3359,8074,9905,4933,4442,2739,62540,31270.0
237,Uttar Pradesh,Urban,7,7084,1119,2121,1043,6630,1464,610,2259,22330,3190.0
238,Gujarat,Rural,4,2891,1593,1012,863,3375,747,552,1049,12082,3020.5
239,Tamil Nadu,Rural,4,6123,2741,2628,1815,2808,1264,1065,1917,20361,5090.25
240,Tamil Nadu,Urban,8,12439,6612,3614,3674,3115,2914,1755,1672,35795,4474.38
241,Tamil Nadu,Rural,7,3716,1319,516,753,1749,579,643,597,9872,1410.29
242,Delhi,Rural,7,6055,1858,1766,1070,3234,550,865,1752,17150,2450.0
243,Rajasthan,Rural,6,6443,2164,1983,2147,647,1225,404,1412,16425,2737.5
244,Karnataka,Rural,7,2554,938,734,850,3426,286,184,953,9925,1417.86
245,Maharashtra,Rural,8,5506,2069,1032,2232,3817,1476,602,2464,19198,2399.75
246,Bihar,Urban,7,5981,1042,2054,2647,6965,1438,654,671,21452,3064.57
247,Bihar,Rural,2,4456,2224,2097,1478,2773,1383,825,1649,16885,8442.5
248,Maharashtra,Rural,5,6245,1852,1478,977,52,1315,551,1362,13832,2766.4
249,Maharashtra,Rural,3,6694,2250,1128,1515,1098,1913,1383,2226,18207,6069.0
250,Rajasthan,Rural,3,6389,3460,986,2874,1960,1799,558,1964,19990,6663.33
251,Maharashtra,Rural,5,7154,3575,1731,3110,818,963,1300,1896,20547,4109.4
252,Rajasthan,Urban,2,10690,3195,5244,2627,16193,2181,1068,4276,45474,22737.0
253,Kerala,Rural,6,4971,738,1044,1911,1746,918,603,1114,13045,2174.17
254,Maharashtra,Urban,4,5301,3048,1746,2691,7968,1852,666,2216,25488,6372.0
255,Gujarat,Urban,2,17133,2337,3565,6116,13860,2032,2745,6281,54069,27034.5
256,Uttar Pradesh,Urban,7,7240,2303,1092,1439,14796,1670,849,3067,32456,4636.57
257,Uttar Pradesh,Urban,3,15933,6015,5461,5241,11016,4165,3229,1807,52867,17622.33
258,Kerala,Urban,5,12151,3295,2095,2173,13469,1445,2156,2990,39774,7954.8
259,West Bengal,Urban,7,11437,3976,5641,4592,14654,2746,1908,1360,46314,6616.29
260,Uttar Pradesh,Urban,8,15442,5455,4522,3442,5207,2295,1371,1361,39095,4886.88
261,Kerala,Urban,3,18428,5148,2138,6724,6276,4454,3095,6871,53134,17711.33
262,Maharashtra,Urban,5,9329,2385,1754,3548,12744,2746,1729,1506,35741,7148.2
263,Uttar Pradesh,Rural,5,4272,930,865,1573,2910,637,535,1518,13240,2648.0
264,Kerala,Urban,3,20176,4614,2592,5286,13244,3355,3791,4186,57244,19081.33
265,West Bengal,Urban,6,23971,7217,3566,5713,5645,4390,4281,5230,60013,10002.17
266,Rajasthan,Rural,4,6972,1349,2414,1154,2097,1608,1320,1912,18826,4706.5
267,West Bengal,Rural,5,3798,1431,540,1263,356,1113,353,1408,10262,2052.4
268,Maharashtra,Urban,4,17738,5911,2300,3890,5895,3309,1387,4255,44685,11171.25
269,Tamil Nadu,Urban,5,17485,4967,1787,2201,13993,2656,3268,2484,48841,9768.2
270,Uttar Pradesh,Rural,5,3870,1700,744,817,2369,703,808,329,11340,2268.0
271,Karnataka,Rural,8,6666,829,1838,1295,2593,944,969,2083,17217,2152.12
272,Rajasthan,Rural,3,3571,724,894,752,3088,695,301,464,10489,3496.33
273,Karnataka,Rural,3,7447,1483,2700,1205,3786,1502,623,1521,20267,6755.67
274,Delhi,Urban,4,7822,2447,3530,3691,15146,2387,1152,3155,39330,9832.5
275,West Bengal,Urban,3,15338,4505,5365,2714,7316,3982,2132,3333,44685,14895.0
276,Bihar,Rural,4,6471,875,1868,1985,3351,952,1082,1431,18015,4503.75
277,Rajasthan,Rural,5,1616,418,779,313,2924,408,322,229,7009,1401.8
278,West Bengal,Rural,8,6291,1618,813,2488,3156,1984,677,2218,19245,2405.62
279,Kerala,Urban,8,19829,7889,3029,4399,16156,4754,3455,7485,66996,8374.5
280,Delhi,Urban,7,6768,1066,1768,2141,4991,886,1183,1771,20574,2939.14
281,West Bengal,Rural,2,5598,2585,2235,1090,1583,1281,914,1345,16631,8315.5
282,Kerala,Rural,3,4006,1122,1441,1218,3854,854,731,641,13867,4622.33
283,Kerala,Rural,6,7227,1329,1001,2386,261,1514,870,1809,16397,2732.83
284,Rajasthan,Rural,8,3003,1539,383,1175,1567,435,622,952,9676,1209.5
285,Maharashtra,Rural,5,4507,1825,1271,1339,3386,846,495,1130,14799,2959.8
286,Delhi,Rural,7,6518,1328,2675,1301,658,1159,740,2663,17042,2434.57
287,Bihar,Rural,8,3380,1468,1295,475,374,746,214,889,8841,1105.12
288,Uttar Pradesh,Rural,4,2682,650,838,678,1424,336,253,245,7106,1776.5
289,Kerala,Urban,6,13332,7092,4539,4808,15253,3199,1311,3292,52826,8804.33
290,Gujarat,Urban,5,11777,4095,5703,2189,8911,2743,1186,5651,42255,8451.0
291,Uttar Pradesh,Urban,2,6225,1300,1650,975,14737,1296,866,2018,29067,14533.5
292,Maharashtra,Rural,3,3431,1568,725,1754,21,542,564,1397,10002,3334.0
293,Bihar,Urban,8,11801,4413,2528,3317,16725,2091,1881,3120,45876,5734.5
294,Karnataka,Rural,3,8215,1192,1066,2701,3523,1574,1364,1015,20650,6883.33
295,Gujarat,Urban,7,14233,7074,3815,5344,16760,5481,2471,7355,62533,8933.29
296,West Bengal,Urban,7,6317,1193,2049,1384,8285,1983,1749,1918,24878,3554.0
297,Karnataka,Rural,2,5183,1827,1551,1045,2962,1167,359,759,14853,7426.5
298,Tamil Nadu,Rural,5,3346,869,779,834,1023,488,530,1316,9185,1837.0
299,West Bengal,Urban,3,15639,8152,4058,4907,12519,2815,3319,3837,55246,18415.33
300,Gujarat,Urban,4,15763,5873,8446,6482,17087,4322,2159,4436,64568,16142.0
301,Gujarat,Urban,3,9494,3674,1875,3357,6258,1828,1296,3006,30788,10262.67
302,Uttar Pradesh,Urban,3,12159,4245,1671,3157,3062,2765,921,3505,31485,10495.0
303,Karnataka,Rural,2,4983,2029,1030,990,3074,745,363,784,13998,6999.0
304,Uttar Pradesh,Urban,4,19520,3245,3621,4084,17638,2773,2567,4754,58202,14550.5
305,Uttar Pradesh,Urban,3,11985,2645,4129,4269,6927,1751,1212,2664,35582,11860.67
306,Tamil Nadu,Rural,2,5068,1881,1470,1070,2876,1412,935,2014,16726,8363.0
307,Tamil Nadu,Rural,7,4825,918,1479,880,2942,1058,438,571,13111,1873.0
